lat_deg,lon_deg,disturbance_mgal
63.58,4.00,-12.5
63.58,4.06,-10.2
63.58,4.12,-7.8
63.58,4.18,-5.1
63.58,4.24,-2.0
63.58,4.30,1.4
63.58,4.36,3.8
63.58,4.42,5.0
63.58,4.48,4.1
63.62,4.00,-14.1
63.62,4.06,-11.6
63.62,4.12,-8.7
63.62,4.18,-5.4
63.62,4.24,-1.7
63.62,4.30,2.2
63.62,4.36,5.5
63.62,4.42,7.1
63.62,4.48,6.3
63.66,4.00,-15.4
63.66,4.06,-12.8
63.66,4.12,-9.4
63.66,4.18,-5.6
63.66,4.24,-1.2
63.66,4.30,3.4
63.66,4.36,7.7
63.66,4.42,10.4
63.66,4.48,9.6
63.70,4.00,-15.8
63.70,4.06,-13.0
63.70,4.12,-9.1
63.70,4.18,-4.8
63.70,4.24,0.1
63.70,4.30,5.4
63.70,4.36,10.8
63.70,4.42,14.6
63.70,4.48,13.9
63.74,4.00,-14.6
63.74,4.06,-11.8
63.74,4.12,-7.7
63.74,4.18,-3.0
63.74,4.24,2.2
63.74,4.30,7.8
63.74,4.36,13.1
63.74,4.42,16.8
63.74,4.48,16.1
63.78,4.00,-12.3
63.78,4.06,-9.4
63.78,4.12,-5.2
63.78,4.18,-0.5
63.78,4.24,4.7
63.78,4.30,9.9
63.78,4.36,14.5
63.78,4.42,17.4
63.78,4.48,16.5
63.82,4.00,-9.2
63.82,4.06,-6.5
63.82,4.12,-2.7
63.82,4.18,1.7
63.82,4.24,6.2
63.82,4.30,10.4
63.82,4.36,13.8
63.82,4.42,15.6
63.82,4.48,14.0
